composer_name	nationality	birth	death
Anna-Louise Egeberg	Norwegian	1843	1914
Oskar Nedbal	Czech	1874	1930
Jeanne Alombert	unknown	unknown	unknown
Ignace Gibsone	British	1826	1897
Mikhail Glinka	Russian	1804	1857
Frank Lynes	American	1858	1913
José Barranquero	unknown	unknown	unknown
Bernhard Romberg	German	1767	1841
James Hotchkiss Rogers	unknown	1857	1940
Oscar Comettant	French	1819	1898
Jean-Philippe Rameau	French	1683	1764
Pierre de La Rue	Belgian	1450	1518
Jules Demersseman	French	1833	1866
Aleksander Lesniczuk	Polish	1951	-
Rogelio Villar	Spanish	1875	1937
Alfredo Catalani	Italian	1854	1893
Alberto Nepomuceno	Brazilian	1864	1920
Robert Dowland	British	1590	1641
Edmond Membrée	French	1820	1882
František Alois Drdla	Czech	1868	1944
Jean-Amédée Lefroid de Méreaux	French	1802	1874
Wilhelm Amthor	unknown	unknown	unknown
Ernesto Lecuona	Cuban	1896	1963
Lupus Hellinck	French	1493 or 1494	1541
Mauro Schiavone	Italian	1975	-
Joseph Francis Lamb	American	1887	1960
Leonard Schultz	Austrian	1814	unknown
Attilio Brugnoli	Italian	1880	1937
Clément Doucet	Belgian	1895	1950
Charles de Marescot	unknown	unknown	unknown
Angelo Francis Pinto	unknown	unknown	unknown
Sebastian Knüpfer	German	1633	1676
Andrew Ahrécéy Moorkens	unknown	unknown	unknown
Jens Bodewalt Lampe	American	1869	1929
Edgar Stillman Kelley	American	1857	1944
Béla Bartók	Hungarian	1881	1945
Vissarion Shebalin	Russian	1902	1963
Arthur Hervey	French	1825	1892
Arnold Krug	German	1849	1904
José De Nito	Argentine	1887	1945
Michalis Christias	unknown	unknown	unknown
Walter Damrosch	American	1862	1911
Wilhelm Ganz	German	1833	1914
Cipriano Martínez Rücker	Spanish	1861	1924
John Moulds	unknown	unknown	unknown
Jesús Guridi	Spanish	1886	1961
Alexander Dreyschock	Czech	1818	1869
Mikhail Karpov	unknown	1884	1960
Fulvio Caldini	Italian	1959	-
Marguerite Casalonga	unknown	1865	1935
Hans Georg Nägeli	Swiss	1773	1836
Wilson Smith	unknown	1856	1929
Helmut Bräutigam	German	1914	1942
Reinhold Glière	Ukrainian	1875	1956
Torsten Petre	Swedish	1863	1928
Benjamin Carr	American	1768	1831
August Reuss	German	1871	1935
Peter Henri van der Weyde	unknown	unknown	unknown
Juan Pedro Esnaola	Argentine	1808	1878
Marie Madeleine Sophie Lacout-Widmer	unknown	unknown	unknown
Clémentine Padieu	unknown	unknown	unknown
Henry Holden Huss	American	1862	1953
Christoph Ernst Friedrich Weyse	Danish	1774	1842
Giles Farnaby	British	1560	1640
Louis Moreau Gottschalk	American	1829	1869
Mikhail Antsev	unknown	1865	1945
Gustave Samazeuilh	French	1877	1967
Albert Gottlieb Methfessel	German	1785	1869
Ermanno Wolf-Ferrari	Italian	1876	1948
Richard Barth	German	1850	1923
Ludwig Hartmann	German	1836	1910
